gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_ratio,n_seed_upstream,betweenness,flags,score_breakdown
100000000343175100,coordinator,0.8984063745020054,10,0.6978432124960499,Кандидат в координирующий узел: 8 плательщиков → 31 получателей; сигналы S2,0,True,8,31,178712.0,4000039.0,14,33,,3,0.0010911947105886903,distributor;S2,"{""betweenness"": 0.197, ""degree"": 0.149, ""n_seed_upstream"": 0.346, ""role"": 0.29}"
100000000456947100,peripheral,1.0,0,0.14982167847952688,Нет переводов ≥5000 KZT в выгрузке,0,True,0,0,0.0,0.0,0,0,,0,0.0,,"{""betweenness"": 0.074, ""degree"": 0.001, ""n_seed_upstream"": 0.101, ""role"": 0.036}"
100000000580561100,peripheral,0.5,32,0.3014446300392759,"Периферийный узел: 2 входящих, 3 исходящих, оборот 1.52 млн",0,True,2,3,27980.0,1488077.0,3,13,,0,1.1888811083225246e-06,,"{""betweenness"": 0.153, ""degree"": 0.135, ""n_seed_upstream"": 0.101, ""role"": 0.036}"
100000001415126100,terminal,0.5,11,0.29901923163739785,"Вероятный конечный получатель: 1 плательщиков, получено 27 тыс., исходящих нет",0,True,1,0,27000.0,0.0,1,0,,0,0.0,,"{""betweenness"": 0.074, ""degree"": 0.048, ""n_seed_upstream"": 0.101, ""role"": 0.199}"
100000001429930100,terminal,0.5,20,0.29901923163739785,"Вероятный конечный получатель: 1 плательщиков, получено 26 тыс., исходящих нет",0,True,1,0,26000.0,0.0,1,0,,0,0.0,,"{""betweenness"": 0.074, ""degree"": 0.048, ""n_seed_upstream"": 0.101, ""role"": 0.199}"
100000001616816100,peripheral,0.5,7,0.496938061487066,"Периферийный узел: 5 входящих, 3 исходящих, оборот 358 тыс.",0,True,5,3,176195.0,181326.0,12,10,,2,0.00010581041864070468,,"{""betweenness"": 0.187, ""degree"": 0.142, ""n_seed_upstream"": 0.334, ""role"": 0.036}"
100000001732159100,peripheral,0.5,3,0.481895851203106,"Периферийный узел: 2 входящих, 4 исходящих, оборот 3.88 млн",0,True,2,4,2378100.0,1505966.0,30,23,,2,2.0607272544257092e-05,,"{""betweenness"": 0.17, ""degree"": 0.138, ""n_seed_upstream"": 0.334, ""role"": 0.036}"
100000002527114100,distributor,1.0,4,0.5095548733691482,"Веерная рассылка: 111 получателей, отдано 3.29 млн",0,True,3,111,129000.0,3289249.0,4,113,,0,0.00019339132695379732,,"{""betweenness"": 0.191, ""degree"": 0.15, ""n_seed_upstream"": 0.101, ""role"": 0.275}"
100000002916006100,peripheral,0.5,11,0.1831689314252178,"Периферийный узел: 0 входящих, 1 исходящих, оборот 32 тыс.",0,True,0,1,0.0,32000.0,0,1,,0,0.0,,"{""betweenness"": 0.074, ""degree"": 0.048, ""n_seed_upstream"": 0.101, ""role"": 0.036}"
100000003016635100,coordinator,1.0,2,0.5255135208342739,Кандидат в координирующий узел: 8 плательщиков → 73 получателей; сигналы S2,0,True,8,73,586981.0,9414081.0,36,151,,0,0.007268819096283914,distributor;S2,"{""betweenness"": 0.2, ""degree"": 0.15, ""n_seed_upstream"": 0.101, ""role"": 0.29}"
100000003200071100,peripheral,0.5,44,0.1831689314252178,"Периферийный узел: 0 входящих, 1 исходящих, оборот 30 тыс.",0,True,0,1,0.0,30000.0,0,1,,0,0.0,,"{""betweenness"": 0.074, ""degree"": 0.048, ""n_seed_upstream"": 0.101, ""role"": 0.036}"
100000003265658100,peripheral,1.0,0,0.14982167847952688,Нет переводов ≥5000 KZT в выгрузке,0,True,0,0,0.0,0.0,0,0,,0,0.0,,"{""betweenness"": 0.074, ""degree"": 0.001, ""n_seed_upstream"": 0.101, ""role"": 0.036}"
100000003349739100,peripheral,1.0,0,0.14982167847952688,Нет переводов ≥5000 KZT в выгрузке,0,True,0,0,0.0,0.0,0,0,,0,0.0,,"{""betweenness"": 0.074, ""degree"": 0.001, ""n_seed_upstream"": 0.101, ""role"": 0.036}"
100000003684369100,coordinator,1.0,5,0.6991467653830526,Кандидат в координирующий узел: 24 плательщиков → 62 получателей; сигналы S2,0,True,24,62,3848436.0,8588655.0,58,67,,3,0.002271159210598796,distributor;S2,"{""betweenness"": 0.198, ""degree"": 0.15, ""n_seed_upstream"": 0.346, ""role"": 0.29}"
100000003770083100,peripheral,1.0,0,0.14982167847952688,Нет переводов ≥5000 KZT в выгрузке,0,True,0,0,0.0,0.0,0,0,,0,0.0,,"{""betweenness"": 0.074, ""degree"": 0.001, ""n_seed_upstream"": 0.101, ""role"": 0.036}"
100000003975102100,peripheral,0.5,2,0.4103347478669135,"Периферийный узел: 1 входящих, 2 исходящих, оборот 114 тыс.",0,True,1,2,25650.0,88500.0,1,2,,1,1.149251738045107e-05,,"{""betweenness"": 0.158, ""degree"": 0.122, ""n_seed_upstream"": 0.262, ""role"": 0.036}"
100000003977183100,peripheral,0.5,7,0.4195386212812063,"Периферийный узел: 2 входящих, 4 исходящих, оборот 890 тыс.",0,True,2,4,123800.0,766000.0,2,6,,1,1.5851748110966993e-06,,"{""betweenness"": 0.154, ""degree"": 0.138, ""n_seed_upstream"": 0.262, ""role"": 0.036}"
100000004007116100,peripheral,0.5,23,0.3036567197869171,"Периферийный узел: 3 входящих, 4 исходящих, оборот 913 тыс.",0,True,3,4,764704.0,148000.0,24,6,,0,5.944405541612623e-07,,"{""betweenness"": 0.15, ""degree"": 0.141, ""n_seed_upstream"": 0.101, ""role"": 0.036}"
100000004019124100,consolidator,1.0,2,0.583904789851474,"Признаки консолидации: 3 плательщиков, деньги от 4 seed за ≤2 колена, получено 193 тыс., дальше ушло 0%",0,True,3,0,193000.0,0.0,3,0,,4,0.0,,"{""betweenness"": 0.074, ""degree"": 0.122, ""n_seed_upstream"": 0.349, ""role"": 0.278}"
100000004021459100,peripheral,1.0,0,0.14982167847952688,Нет переводов ≥5000 KZT в выгрузке,0,True,0,0,0.0,0.0,0,0,,0,0.0,,"{""betweenness"": 0.074, ""degree"": 0.001, ""n_seed_upstream"": 0.101, ""role"": 0.036}"
100000004041163100,peripheral,0.5,11,0.48331000857749085,"Периферийный узел: 1 входящих, 2 исходящих, оборот 916 тыс.",0,True,1,2,50000.0,866000.0,1,6,,6,2.3381328463676314e-05,,"{""betweenness"": 0.173, ""degree"": 0.122, ""n_seed_upstream"": 0.35, ""role"": 0.036}"
100000004174835100,peripheral,1.0,0,0.14982167847952688,Нет переводов ≥5000 KZT в выгрузке,0,True,0,0,0.0,0.0,0,0,,0,0.0,,"{""betweenness"": 0.074, ""degree"": 0.001, ""n_seed_upstream"": 0.101, ""role"": 0.036}"
100000004193835100,peripheral,0.5,2,0.39462101033813374,"Периферийный узел: 1 входящих, 1 исходящих, оборот 52 тыс.",0,True,1,1,47000.0,5000.0,1,1,,1,1.1888811083225246e-06,,"{""betweenness"": 0.153, ""degree"": 0.105, ""n_seed_upstream"": 0.262, ""role"": 0.036}"
100000004269433100,peripheral,0.5,10,0.1831689314252178,"Периферийный узел: 0 входящих, 1 исходящих, оборот 1.37 млн",0,True,0,1,0.0,1372000.0,0,67,,0,0.0,,"{""betweenness"": 0.074, ""degree"": 0.048, ""n_seed_upstream"": 0.101, ""role"": 0.036}"
100000004358004100,peripheral,0.5,5,0.2524468421290235,"Периферийный узел: 0 входящих, 11 исходящих, оборот 981 тыс.",0,True,0,11,0.0,980850.0,0,17,,0,0.0,,"{""betweenness"": 0.074, ""degree"": 0.145, ""n_seed_upstream"": 0.101, ""role"": 0.036}"
100000004388983100,peripheral,0.5,41,0.22376867861496094,"Периферийный узел: 0 входящих, 2 исходящих, оборот 451 тыс.",0,True,0,2,0.0,450816.0,0,23,,0,0.0,,"{""betweenness"": 0.074, ""degree"": 0.105, ""n_seed_upstream"": 0.101, ""role"": 0.036}"
100000004714705100,peripheral,0.5,11,0.1831689314252178,"Периферийный узел: 0 входящих, 1 исходящих, оборот 37 тыс.",0,True,0,1,0.0,36550.0,0,1,,0,0.0,,"{""betweenness"": 0.074, ""degree"": 0.048, ""n_seed_upstream"": 0.101, ""role"": 0.036}"
