cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,role_counts
0,19,19,0.0,100000000456947100;100000003265658100;100000003349739100;100000003770083100;100000004021459100,Изолированные клиенты без переводов ≥5000 KZT,"{""peripheral"": 19}"
1,212,1,25356979.71,100000008477350100;100000005124479100;100000008603629100;100000000437046100;100000008686313100,Распределительный узел: веерная рассылка на 67 получателей,"{""consolidator"": 1, ""coordinator"": 39, ""distributor"": 1, ""frontier"": 48, ""peripheral"": 46, ""terminal"": 74, ""transit"": 3}"
2,177,8,25034775.560000002,100000004156082100;100000005287097100;100000004188160100;100000005339662100;100000004394765100,"Сбор выручки: 8 seed → 2 точек консолидации, оборот 25.03 млн","{""consolidator"": 2, ""coordinator"": 12, ""frontier"": 15, ""peripheral"": 56, ""terminal"": 83, ""transit"": 9}"
3,175,3,22721610.85,100000008346837100;100000003115284100;100000002398779100;100000008304139100;100000004070318100,"Сбор выручки: 3 seed → 7 точек консолидации, оборот 22.72 млн","{""consolidator"": 7, ""coordinator"": 19, ""frontier"": 46, ""peripheral"": 52, ""terminal"": 46, ""transit"": 5}"
4,150,1,5518694.0,100000001697501100;100000004739664100;100000008737958100;100000003942602100;100000002733905100,Распределительный узел: веерная рассылка на 111 получателей,"{""coordinator"": 2, ""distributor"": 1, ""peripheral"": 6, ""terminal"": 139, ""transit"": 2}"
5,142,3,19525103.0,100000008165763100;100000003946524100;100000007311010100;100000008438656100;100000002723538100,"Сбор выручки: 3 seed → 2 точек консолидации, оборот 19.53 млн","{""consolidator"": 2, ""coordinator"": 12, ""frontier"": 18, ""peripheral"": 29, ""terminal"": 78, ""transit"": 3}"
6,179,1,44128708.620000005,100000008547948100;100000008710791100;100000002781227100;100000002718366100;100000008489922100,Распределительный узел: веерная рассылка на 36 получателей,"{""consolidator"": 1, ""coordinator"": 17, ""distributor"": 2, ""frontier"": 60, ""peripheral"": 35, ""terminal"": 62, ""transit"": 2}"
7,147,5,20832032.28,100000004015047100;100000005514161100;100000002838861100;100000002762076100;100000005578559100,"Сбор выручки: 5 seed → 3 точек консолидации, оборот 20.83 млн","{""consolidator"": 3, ""coordinator"": 10, ""distributor"": 3, ""frontier"": 29, ""peripheral"": 32, ""terminal"": 68, ""transit"": 2}"
8,144,0,30697593.1,100000000331309100;100000004315838100;100000008560717100;100000001330685100;100000006734214100,Распределительный узел: веерная рассылка на 99 получателей,"{""coordinator"": 9, ""frontier"": 50, ""peripheral"": 24, ""terminal"": 59, ""transit"": 2}"
9,120,0,4465650.0,100000002578405100;100000008493007100;100000000661131100;100000001149815100;100000001155773100,Распределительный узел: веерная рассылка на 116 получателей,"{""distributor"": 1, ""frontier"": 4, ""peripheral"": 4, ""terminal"": 110, ""transit"": 1}"
10,66,3,7625973.8,100000006889963100;100000007129492100;100000002679516100;100000001924185100;100000002957306100,Распределительный узел: веерная рассылка на 31 получателей,"{""coordinator"": 6, ""frontier"": 7, ""peripheral"": 21, ""terminal"": 31, ""transit"": 1}"
11,77,14,14261788.84,100000004403675100;100000004159526100;100000008104567100;100000005933757100;100000002605308100,"Сбор выручки: 14 seed → 3 точек консолидации, оборот 14.26 млн","{""consolidator"": 3, ""coordinator"": 3, ""distributor"": 1, ""frontier"": 12, ""peripheral"": 26, ""terminal"": 32}"
12,77,0,6309968.0,100000004400305100;100000001126374100;100000003068941100;100000008665380100;100000002645609100,Распределительный узел: веерная рассылка на 82 получателей,"{""coordinator"": 11, ""frontier"": 28, ""peripheral"": 8, ""terminal"": 26, ""transit"": 4}"
13,61,2,24045352.0,100000003265158100;100000004662806100;100000001253557100;100000000922570100;100000002973903100,Распределительный узел: веерная рассылка на 27 получателей,"{""coordinator"": 3, ""distributor"": 1, ""frontier"": 3, ""peripheral"": 22, ""terminal"": 29, ""transit"": 3}"
14,54,0,16858436.0,100000007442518100;100000005242320100;100000002670860100;100000001584286100;100000001287955100,Распределительный узел: веерная рассылка на 21 получателей,"{""coordinator"": 3, ""distributor"": 1, ""frontier"": 10, ""peripheral"": 10, ""terminal"": 30}"
