cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,role_counts
0,19,19,0.0,100000000456947100;100000003265658100;100000003349739100;100000003770083100;100000004021459100,Изолированные клиенты без переводов ≥5000 KZT,"{""peripheral"": 19}"
1,212,1,25356979.71,100000004299488100;100000008477350100;100000008686313100;100000000437046100;100000008603629100,Распределительный узел: веерная рассылка на 67 получателей,"{""consolidator"": 1, ""coordinator"": 13, ""distributor"": 1, ""frontier"": 48, ""peripheral"": 58, ""terminal"": 85, ""transit"": 6}"
2,177,8,25034775.560000002,100000005287097100;100000004156082100;100000006518161100;100000004188160100;100000004394765100,"Сбор выручки: 8 seed → 2 точек консолидации, оборот 25.03 млн","{""consolidator"": 2, ""coordinator"": 5, ""frontier"": 15, ""peripheral"": 59, ""terminal"": 86, ""transit"": 10}"
3,150,1,5518694.0,100000001697501100;100000004739664100;100000003942602100;100000008737958100;100000001952325100,Распределительный узел: веерная рассылка на 111 получателей,"{""coordinator"": 1, ""distributor"": 1, ""peripheral"": 6, ""terminal"": 140, ""transit"": 2}"
4,175,3,22721610.85,100000003115284100;100000008346837100;100000004070318100;100000002398779100;100000004847758100,"Сбор выручки: 3 seed → 7 точек консолидации, оборот 22.72 млн","{""consolidator"": 7, ""coordinator"": 12, ""frontier"": 46, ""peripheral"": 56, ""terminal"": 48, ""transit"": 6}"
5,142,3,19525103.0,100000008165763100;100000003946524100;100000008111003100;100000001072022100;100000002723538100,"Сбор выручки: 3 seed → 3 точек консолидации, оборот 19.53 млн","{""consolidator"": 3, ""coordinator"": 2, ""frontier"": 18, ""peripheral"": 33, ""terminal"": 83, ""transit"": 3}"
6,147,5,20832032.28,100000004015047100;100000002838861100;100000005514161100;100000002894076100;100000005578559100,"Сбор выручки: 5 seed → 4 точек консолидации, оборот 20.83 млн","{""consolidator"": 4, ""coordinator"": 2, ""distributor"": 3, ""frontier"": 29, ""peripheral"": 37, ""terminal"": 70, ""transit"": 2}"
7,179,1,44128708.620000005,100000002781227100;100000008547948100;100000008710791100;100000002718366100;100000008489922100,Распределительный узел: веерная рассылка на 36 получателей,"{""consolidator"": 1, ""coordinator"": 4, ""distributor"": 2, ""frontier"": 60, ""peripheral"": 36, ""terminal"": 73, ""transit"": 3}"
8,144,0,30697593.1,100000000331309100;100000008560717100;100000006734214100;100000004315838100;100000001330685100,Распределительный узел: веерная рассылка на 99 получателей,"{""coordinator"": 3, ""frontier"": 50, ""peripheral"": 27, ""terminal"": 62, ""transit"": 2}"
9,120,0,4465650.0,100000002578405100;100000008493007100;100000004292885100;100000001632325100;100000008712827100,Распределительный узел: веерная рассылка на 116 получателей,"{""distributor"": 1, ""frontier"": 4, ""peripheral"": 4, ""terminal"": 110, ""transit"": 1}"
10,66,3,7625973.8,100000006889963100;100000003809101100;100000003635170100;100000002957306100;100000002618492100,"Сбор выручки: 3 seed → 1 точек консолидации, оборот 7.63 млн","{""consolidator"": 1, ""coordinator"": 1, ""frontier"": 7, ""peripheral"": 22, ""terminal"": 34, ""transit"": 1}"
11,61,2,24045352.0,100000003265158100;100000001253557100;100000000922570100;100000004386258100;100000002973903100,Распределительный узел: веерная рассылка на 27 получателей,"{""coordinator"": 1, ""distributor"": 1, ""frontier"": 3, ""peripheral"": 23, ""terminal"": 29, ""transit"": 4}"
